Company Brand,Sector,Stage,Amount,Location,What it does?,Year,Founded,Founders,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"Thecollegefever Is A Hub For Fun, Fiesta And Frolic Of Colleges.",2018,2017,Unknown,Unknown
Happy Cow Dairy,"Agriculture, Farming",Seed,583941.605839416,Mumbai,A Startup Which Aggregates Milk From Dairy Farmers In Rural Maharashtra.,2018,2017,Unknown,Unknown
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,948905.109489051,Gurgaon,Leading Online Loans Marketplace In India,2018,2017,Unknown,Unknown
PayMe India,"Financial Services, Fintech",Angel Round,2000000.0,Noida,Payme India Is An Innovative Fintech Organization Which Offers Short Term Financial Suport To Corporate Employees.,2018,2017,Unknown,Unknown
Eunimart,"E-Commerce Platforms, Retail, Saas",Seed,3000000.0,Hyderabad,Eunimart Is A One Stop Solution For Merchants To Create A Difference By Selling Globally.,2018,2017,Unknown,Unknown
Hasura,"Cloud Infrastructure, Paas, Saas",Seed,1600000.0,Bengaluru,"Hasura Is A Platform That Allows Developers To Build, Deploy, And Host Cloud-Native Applications Quickly.",2018,2017,Unknown,Unknown
Tripshelf,"Internet, Leisure, Marketplace",Seed,233576.64233576643,"Kalkaji, Delhi, India",Tripshelf Is An Online Market Place For Holiday Packages.,2018,2017,Unknown,Unknown
Hyperdata.IO,Market Research,Angel Round,729927.00729927,Hyderabad,Hyperdata Combines Advanced Machine Learning With Human Intelligence.,2018,2017,Unknown,Unknown
Freightwalla,"Information Services, Information Technology",Seed,3000000.0,Mumbai,Freightwalla Is An International Forwarder Thats Helps You Manage Supply Chain By Providing Online Tools Including Instant Quotations.,2018,2017,Unknown,Unknown
Microchip Payments,Mobile Payments,Seed,3000000.0,Bangalore,Microchip Payments Is A Mobile-Based Payment Application And Point-Of-Sale Device,2018,2017,Unknown,Unknown
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,3000000.0,Delhi,Building Transactionary B2B Marketplaces,2018,2017,Unknown,Unknown
Emojifi,Internet,Seed,3000000.0,Bengaluru,"Emojifi Is An App That Provides Live Emoji, Stickers & Gifs Suggestions Based On The Typed Words Across Chat Platforms.",2018,2017,Unknown,Unknown
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,3000000.0,"India, Asia",Flock Is A Real-Time Messaging And Collaboration App For Teams That Speeds Up And Simplifies Communication And Boosts Productivity.,2018,2017,Unknown,Unknown
Freshboxx,Food Delivery,Seed,3000000.0,"Hubli, Karnataka, India","Freshboxx Is Incubated At Sandbox Startups, A Unit Of The Deshpande Foundation.",2018,2017,Unknown,Unknown
Wide Mobility Mechatronics,Industrial Automation,Seed,3000000.0,Bangalore,Wide Mobility Mechatronics Is A Private Company Limited By Shares,2018,2017,Unknown,Unknown
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1459854.01459854,Bengaluru,Pitstop Offers General Repair And Maintenance Services For Cars Through Its Doorstep Service Vehicles.,2018,2017,Unknown,Unknown
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,Mihuru Is An Online Platform Which Gives Micro Loans For Air Travel .,2018,2017,Unknown,Unknown
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, Saas",Seed,1100000.0,Bengaluru,Fyle Is An Intelligent Expense Management Platform For Enterprises.,2018,2017,Unknown,Unknown
AppWharf,"Artificial Intelligence, Product Search, Saas, Service Industry, Software",Seed,3000000.0,New Delhi,Appwharf Is An Intelligent Assistant That Helps Find You The Best-Fit Saas For Your Business.,2018,2017,Unknown,Unknown
Antariksh Waste Ventures Pvt ltd,"Internet Of Things, Waste Management",Seed,7299.270072992701,Chennai,Waste Management For Smart Cities,2018,2017,Unknown,Unknown
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,Cogoport Is A Platform That Provides Freight Buying Industry With Spot Rates And Bidding Process For Freight Buyers.,2018,2017,Unknown,Unknown
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P Lending Marketplace Platform,2018,2017,Unknown,Unknown
Sleepy Owl Coffee,Food And Beverage,Seed,510948.90510948905,New Delhi,"Makers Of A Signature Coffee That'S Exceptional In Taste. It'S Super Easy To Brew, Requires No Equipment & Ships To Your Door.",2018,2017,Unknown,Unknown
BlueJack,Autonomous Vehicles,Seed,934306.5693430657,Delhi,Delhi-Based Online Used Vehicles Marketplace.,2018,2017,Unknown,Unknown
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, Saas",Seed,3000000.0,Bengaluru,Pregbuddy Is A Smart Connected Care Platform For Expecting Mothers.,2018,2017,Unknown,Unknown
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,3000000.0,Mohali,Agnext Is An Agricultural Sensing And Solutions Company Focused On Building Data-Driven Solutions For Agricultural Stakeholders,2018,2017,Unknown,Unknown
